AVERAGE_GENE_EXPRESSION	r1_C0	r1_C1	r1_C2	r1_C3	r1_C4	r1_C5	r1_C6	r1_C7	r1_C8
RP11-34P13.7	0.004	0.0425531914893617	0	0.0338983050847458	0.12280701754386	0.0181818181818182	0.0588235294117647	0	0.0434782608695652
FO538757.2	0.156	0.308510638297872	0.101694915254237	0.254237288135593	0.649122807017544	0.2	0.392156862745098	0.175	0.173913043478261
AP006222.2	0.056	0.180851063829787	0	0.101694915254237	0.350877192982456	0.0181818181818182	0.0784313725490196	0.025	0
RP4-669L17.10	0.02	0.0319148936170213	0.0508474576271186	0.0677966101694915	0.12280701754386	0.0545454545454545	0.0196078431372549	0.025	0
RP5-857K21.4	0.32	1.23404255319149	0.474576271186441	0.983050847457627	2.17543859649123	0.4	1.09803921568627	0.65	0.347826086956522
RP5-857K21.2	0.004	0.0212765957446809	0	0.0169491525423729	0.0350877192982456	0	0.0196078431372549	0	0
RP11-206L10.9	0.08	0.436170212765957	0.186440677966102	0.23728813559322	0.526315789473684	0.163636363636364	0.274509803921569	0.1	0.130434782608696
NOC2L	0.036	0.127659574468085	0.0677966101694915	0.135593220338983	0.192982456140351	0.0363636363636364	0.156862745098039	0.075	0
KLHL17	0	0.0212765957446809	0.0169491525423729	0.0169491525423729	0	0	0.0196078431372549	0	0
PERM1	0	0	0	0	0	0.0181818181818182	0.0196078431372549	0.025	0
HES4	0	0	0.0508474576271186	0.220338983050847	0.0526315789473684	0.0181818181818182	0.0196078431372549	0.175	0
ISG15	0.024	0.117021276595745	0.0847457627118644	0.169491525423729	0.0526315789473684	0.127272727272727	0.0392156862745098	0.075	0.0869565217391304
AGRN	0.048	0.106382978723404	0.0508474576271186	0.0508474576271186	0.210526315789474	0	0	0.075	0.0434782608695652
C1orf159	0.068	0.276595744680851	0.0508474576271186	0.169491525423729	0.473684210526316	0.0545454545454545	0.156862745098039	0.05	0
TTLL10	0.004	0.0212765957446809	0	0.0169491525423729	0.0350877192982456	0	0.0392156862745098	0.025	0
TNFRSF18	0	0.0106382978723404	0	0	0.0701754385964912	0.0181818181818182	0	0	0
SDF4	0.048	0.202127659574468	0.0508474576271186	0.0338983050847458	0.245614035087719	0.0909090909090909	0.196078431372549	0.075	0.0434782608695652
B3GALT6	0	0	0.0338983050847458	0.0169491525423729	0	0	0	0.025	0
UBE2J2	0.036	0.191489361702128	0.152542372881356	0.101694915254237	0.298245614035088	0.0363636363636364	0.313725490196078	0.1	0.173913043478261
RP5-902P8.10	0	0.0851063829787234	0	0	0.12280701754386	0	0.0392156862745098	0.05	0
SCNN1D	0.012	0.0531914893617021	0.0169491525423729	0.0338983050847458	0.0701754385964912	0.0181818181818182	0.0588235294117647	0	0
ACAP3	0.152	0.553191489361702	0.627118644067797	0.254237288135593	0.754385964912281	0.0727272727272727	0.313725490196078	0.15	0
PUSL1	0	0.0212765957446809	0	0.0169491525423729	0.0526315789473684	0	0	0.05	0
CPSF3L	0.088	0.308510638297872	0.11864406779661	0.305084745762712	0.578947368421053	0.145454545454545	0.313725490196078	0.15	0
CPTP	0.004	0.0212765957446809	0	0.0169491525423729	0.0350877192982456	0	0.0196078431372549	0	0
DVL1	0.028	0.0851063829787234	0.0677966101694915	0.0169491525423729	0.140350877192982	0.0363636363636364	0.0392156862745098	0.025	0
MXRA8	0	0	0.0169491525423729	0.11864406779661	0.0175438596491228	0.0181818181818182	0.0196078431372549	0.1	0
AURKAIP1	0.06	0.212765957446809	0.0508474576271186	0.169491525423729	0.087719298245614	0.127272727272727	0.0588235294117647	0.175	0
CCNL2	0.172	0.585106382978723	0.406779661016949	0.491525423728814	0.842105263157895	0.290909090909091	0.627450980392157	0.3	0.0434782608695652
MRPL20	0.064	0.180851063829787	0.101694915254237	0.254237288135593	0.333333333333333	0.0909090909090909	0.215686274509804	0.3	0.0434782608695652
ANKRD65	0.036	0.0319148936170213	0	0	0.0175438596491228	0	0.0196078431372549	0	0
VWA1	0.148	0.0319148936170213	0	0.0508474576271186	0.0175438596491228	0.0545454545454545	0	0.025	0
ATAD3C	0.036	0.0319148936170213	0.0338983050847458	0	0.12280701754386	0	0.0392156862745098	0	0
ATAD3B	0.048	0.159574468085106	0.11864406779661	0.0677966101694915	0.350877192982456	0.0545454545454545	0.196078431372549	0.05	0
ATAD3A	0.016	0.117021276595745	0	0.0338983050847458	0.140350877192982	0.0363636363636364	0.117647058823529	0.05	0
TMEM240	0.004	0.0106382978723404	0.0169491525423729	0	0.0350877192982456	0	0.0196078431372549	0.025	0
SSU72	0.076	0.25531914893617	0.0677966101694915	0.11864406779661	0.298245614035088	0.145454545454545	0.156862745098039	0.15	0.0434782608695652
RP5-832C2.5	0.008	0.0212765957446809	0	0.0169491525423729	0.0526315789473684	0.0545454545454545	0	0.025	0
C1orf233	0	0.0425531914893617	0.0169491525423729	0	0.0350877192982456	0	0.0784313725490196	0	0
RP11-345P4.9	0.012	0.0319148936170213	0.0169491525423729	0.0508474576271186	0.12280701754386	0	0.0784313725490196	0.05	0
MIB2	0.048	0.202127659574468	0.0677966101694915	0.0677966101694915	0.210526315789474	0.0727272727272727	0.0784313725490196	0.05	0
