GENE	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ST18	1.8209763998976e-113	3.26723144188488	0.964	0.116	3.75339655546894e-109	0	ST18
MIR219A2	1.25246349954927e-104	3.79175872212849	0.88	0.066	2.58157776527095e-100	0	MIR219A2
PLP1	1.093748725161e-100	3.3436857802939	0.944	0.235	2.25443487230186e-96	0	PLP1
MBP	4.7677326755751e-100	2.54172738395167	0.992	0.502	9.8272505908954e-96	0	MBP
RNF220	3.43275841983551e-97	2.5117707930626	0.976	0.308	7.07560165496496e-93	0	RNF220
TMEM144	1.65226095189637e-96	2.79902248660171	0.932	0.18	3.40564027404881e-92	0	TMEM144
CTNNA3	8.78238051459901e-93	2.08463796936782	0.996	0.66	1.81022427166915e-88	0	CTNNA3
IL1RAPL1	2.81403496376104e-92	1.85380753830464	0.996	0.635	5.80028886730426e-88	0	IL1RAPL1
SLC24A2	4.74148484419143e-92	2.03063975946654	0.992	0.466	9.77314856084737e-88	0	SLC24A2
SLC44A1	1.41088450310088e-90	2.17146644060427	0.98	0.55	2.90811513779154e-86	0	SLC44A1
TTLL7	1.99223926865373e-88	2.22124946138724	0.968	0.537	4.10640358054907e-84	0	TTLL7
PPP2R2B	1.39502955624761e-85	1.66726974219022	1	0.76	2.87543492133758e-81	0	PPP2R2B
C10orf90	4.88354360756236e-85	2.68508912263502	0.84	0.128	1.00659600839075e-80	0	C10orf90
EDIL3	2.32705197613294e-84	2.16602942705075	0.94	0.39	4.79651953320521e-80	0	EDIL3
MAN2A1	2.62119251369967e-84	2.45061474142954	0.932	0.411	5.40280200923777e-80	0	MAN2A1
PIP4K2A	3.59666476172468e-82	2.00751710283429	0.956	0.384	7.4134454068669e-78	0	PIP4K2A
DOCK10	2.10905420634538e-80	2.01037354268086	0.948	0.397	4.34718253011909e-76	0	DOCK10
MOBP	2.32608344119512e-79	2.99287761267309	0.788	0.107	4.79452318899138e-75	0	MOBP
CLDN11	2.54470507048319e-78	1.9780914204863	0.94	0.34	5.24514609127995e-74	0	CLDN11
FRMD4B	8.02139476101723e-78	1.91903479387026	0.94	0.288	1.65336988814087e-73	0	FRMD4B
MOG	1.14907438713457e-75	3.09926316297365	0.716	0.055	2.36847212676177e-71	0	MOG
PTGDS	7.13996685895928e-75	2.06714254113634	0.908	0.311	1.47168996896869e-70	0	PTGDS
MAP7	4.83608636397191e-74	1.71810305185247	0.944	0.541	9.9681412134189e-70	0	MAP7
SPOCK3	6.59341991283832e-74	1.94314769087737	0.928	0.333	1.35903571243424e-69	0	SPOCK3
SLCO1A2	1.19468016660575e-73	3.3063264849969	0.7	0.059	2.46247475940777e-69	0	SLCO1A2
DOCK5	1.94747389881577e-73	2.49765212236362	0.824	0.199	4.01413320023906e-69	0	DOCK5
ENPP2	5.68272611884842e-73	2.98497132550286	0.752	0.116	1.17132350761704e-68	0	ENPP2
NKAIN2	1.55596198235812e-72	1.69758717488193	0.968	0.575	3.20714883803656e-68	0	NKAIN2
PCDH9	8.23019601910796e-72	1.22220553048376	1	0.863	1.69640800345853e-67	0	PCDH9
FRMD5	2.13598014731417e-71	1.47815770184914	0.968	0.562	4.40268227964397e-67	0	FRMD5
CNTNAP4	6.15760977298669e-71	2.16247870631227	0.88	0.34	1.26920652640802e-66	0	CNTNAP4
ELMO1	9.16710452585575e-71	1.78172083570712	0.924	0.438	1.88952358486939e-66	0	ELMO1
CERCAM	3.41961336517987e-70	2.73077449189692	0.748	0.126	7.04850706830875e-66	0	CERCAM
COL4A5	4.08618529125968e-70	3.07096335311707	0.716	0.1	8.42244512234444e-66	0	COL4A5
QKI	1.02273854641928e-69	1.41656021944722	0.992	0.701	2.10806869187941e-65	0	QKI
DLG1	2.65663643718516e-68	1.66926673246035	0.94	0.651	5.47585902432605e-64	0	DLG1
PEX5L	4.24139079962378e-68	1.79844532383709	0.908	0.432	8.74235471618454e-64	0	PEX5L
ST6GALNAC3	1.25281732397923e-66	2.2502792650023	0.848	0.32	2.58230706818598e-62	0	ST6GALNAC3
SHTN1	1.61117906206414e-66	2.07084588379588	0.872	0.395	3.32096228272661e-62	0	SHTN1
PHLPP1	2.71132970763033e-66	1.60547371062682	0.952	0.534	5.58859279336763e-62	0	PHLPP1
UNC5C	3.10709843587867e-66	1.92388261611534	0.908	0.534	6.40435129603311e-62	0	UNC5C
DNM3	3.67814119148864e-66	1.41076075926303	0.96	0.616	7.58138462389639e-62	0	DNM3
PLCL1	4.57940236200626e-66	2.02951464956289	0.88	0.438	9.43906414856731e-62	0	PLCL1
TMTC2	2.75753163593518e-63	1.45748397680775	0.96	0.587	5.68382420798959e-59	0	TMTC2
FRYL	2.83224126918198e-63	1.7951428019799	0.892	0.55	5.83781570403791e-59	0	FRYL
NCAM2	1.5142416423083e-62	1.49605294588069	0.972	0.644	3.12115487312588e-58	0	NCAM2
ZNF536	1.9532373895262e-62	1.88440022552835	0.844	0.237	4.0260129072914e-58	0	ZNF536
PLEKHH1	6.51094517144582e-62	2.87408550159814	0.692	0.123	1.34203601873841e-57	0	PLEKHH1
SLC5A11	7.20733531495688e-61	3.15640563108847	0.68	0.123	1.48557595511891e-56	0	SLC5A11
KIRREL3	4.75459999797026e-59	1.71744473120471	0.876	0.386	9.80018151581631e-55	0	KIRREL3
SLAIN1	1.91203691910706e-58	2.1555934259048	0.78	0.265	3.94109049766347e-54	0	SLAIN1
NCKAP5	3.59119873202991e-58	1.51190823156828	0.924	0.461	7.40217882646005e-54	0	NCKAP5
FAM107B	4.84475806471223e-58	2.33157533877291	0.704	0.139	9.98601532298484e-54	0	FAM107B
ABCA8	6.86357200881644e-58	2.49156757982487	0.664	0.105	1.41471946245724e-53	0	ABCA8
CARNS1	1.57865759231922e-57	3.63245247364573	0.564	0.041	3.25392902928837e-53	0	CARNS1
LINC00609	5.21940365164908e-57	2.56922748128731	0.688	0.146	1.07582348067791e-52	0	LINC00609
SIK3	2.17858461945894e-56	1.14274836795679	0.976	0.795	4.49049861762876e-52	0	SIK3
PTPRK	4.4151891223331e-56	1.33284721629734	0.928	0.466	9.10058781895299e-52	0	PTPRK
POLR2F	5.27861609050234e-56	2.12789642916035	0.776	0.276	1.08802834857434e-51	0	POLR2F
DAAM2	7.3454801525609e-56	2.64360473953738	0.64	0.103	1.51405036904585e-51	0	DAAM2
TMEM165	1.05280056186358e-55	1.91359240084753	0.824	0.37	2.17003251811321e-51	0	TMEM165
